alpha, CL
   0.000000,    0.059449
   1.578947,    0.129512
   3.157895,    0.199575
   4.736842,    0.269638
   6.315789,    0.339701
   7.894737,    0.409765
   9.473684,    0.479828
  11.052632,    0.549891
  12.631579,    0.620206
  14.210526,    0.691772
  15.789474,    0.765365
  17.368421,    0.841294
  18.947368,    0.919402
  20.526316,    0.999068
  22.105263,    1.079205
  23.684211,    1.158258
  25.263158,    1.234208
  26.842105,    1.304571
  28.421053,    1.366397
  30.000000,    1.416268
