alpha, CL
   0.000000,    0.366313
   1.578947,    0.436376
   3.157895,    0.506439
   4.736842,    0.576502
   6.315789,    0.646565
   7.894737,    0.716628
   9.473684,    0.786691
  11.052632,    0.856754
  12.631579,    0.927069
  14.210526,    0.998635
  15.789474,    1.072228
  17.368421,    1.148157
  18.947368,    1.226266
  20.526316,    1.305932
  22.105263,    1.386068
  23.684211,    1.465121
  25.263158,    1.541072
  26.842105,    1.611435
  28.421053,    1.673260
  30.000000,    1.723131
