alpha, CL
   0.000000,    0.237796
   1.578947,    0.307860
   3.157895,    0.377923
   4.736842,    0.447986
   6.315789,    0.518049
   7.894737,    0.588112
   9.473684,    0.658175
  11.052632,    0.728238
  12.631579,    0.798553
  14.210526,    0.870119
  15.789474,    0.943712
  17.368421,    1.019641
  18.947368,    1.097749
  20.526316,    1.177416
  22.105263,    1.257552
  23.684211,    1.336605
  25.263158,    1.412556
  26.842105,    1.482919
  28.421053,    1.544744
  30.000000,    1.594615
