alpha, CL
   0.000000,    0.610355
   1.578947,    0.680418
   3.157895,    0.750481
   4.736842,    0.820544
   6.315789,    0.890607
   7.894737,    0.960670
   9.473684,    1.030733
  11.052632,    1.100796
  12.631579,    1.171111
  14.210526,    1.242677
  15.789474,    1.316270
  17.368421,    1.392199
  18.947368,    1.470308
  20.526316,    1.549974
  22.105263,    1.630110
  23.684211,    1.709163
  25.263158,    1.785114
  26.842105,    1.855477
  28.421053,    1.917302
  30.000000,    1.967173
