Ground distance, Rate of Climb
   0.000000,    0.000000
   1.548757,    0.000000
   6.169300,    0.000000
  13.822748,    0.000000
  24.469864,    0.000000
  38.071078,    0.000000
  54.586525,    0.000000
  73.976065,    0.000000
  96.199315,    0.000000
 121.215689,    0.000000
 148.984405,    0.000000
 179.464540,    0.000000
 212.615040,    0.000000
 248.394761,    0.000000
 286.762509,    0.000000
 327.677085,    0.000000
 371.097342,    0.000000
 416.982240,    0.000000
 465.290878,    0.000000
 515.982564,    0.000000
 569.016800,    0.000000
 624.353311,    0.000000
 681.952009,    0.000000
 688.328143,    0.000000
 748.394714,    0.000000
 810.683161,    0.000000
 844.610418,    0.000000
 900.042340,    0.698202
 933.481435,    1.547746
1001.645514,    3.703954
1071.033011,    6.298053
1095.271281,    7.266520
1165.560093,   10.174731
1196.255076,   11.463100
1266.738685,   12.810321
1337.221332,   12.971570
1407.703322,   13.011128
1478.185440,   13.041726
1548.668153,   13.078183
1619.151394,   13.114074
1689.635174,   13.149383
1760.119517,   13.184748
1830.604403,   13.219397
1901.089858,   13.254287
1940.874550,   13.275979
1995.290304,   13.288345
2065.775737,   13.271845
2136.261577,   13.255201
2206.748012,   13.241857
2277.235008,   13.228163
2347.722588,   13.214437
2418.210775,   13.201050
2488.699551,   13.187893
2559.188880,   13.174152
2629.678788,   13.160900
2677.437898,   13.151570
2747.928059,   12.857702
2818.417576,   12.409222
2888.907450,   11.954019
2959.398009,   11.503397
3029.889357,   11.341800
3100.381451,   11.320311
3170.874158,   11.309575
3241.367387,   11.298105
3311.861174,   11.287745
3382.355518,   11.277971
3452.850414,   11.267862
3523.345862,   11.257481
3593.841855,   11.247064
3664.338377,   11.236166
3734.835438,   11.225197
3805.333033,   11.214038
3875.831158,   11.204306
3946.329806,   11.194482
4016.828988,   11.184093
4087.328709,   11.173973
4157.828953,   11.163064
4228.329760,   11.152331
4298.831122,   11.141257
4369.333051,   11.130438
4439.835521,   11.121009
4510.338527,   11.111150
4580.842073,   11.100855
4651.346164,   11.090705
4721.850777,   11.079564
4792.355960,   11.068875
4862.861679,   11.057670
4933.367947,   11.047059
5003.874774,   11.037178
5074.382147,   11.027254
5144.890074,   11.016680
5215.398567,   11.006520
5285.907596,   10.995709
5356.417184,   10.984775
5426.927337,   10.974189
5497.438000,   10.963583
5567.949218,   10.953445
5638.460992,   10.943568
5708.973305,   10.933481
5779.486148,   10.923132
5849.999525,   10.912498
5920.513447,   10.901605
5991.027933,   10.890869
6061.542962,   10.880076
6132.058535,   10.870427
6202.574652,   10.860465
6273.091304,   10.850143
6343.608477,   10.839404
6414.126180,   10.828347
6484.644431,   10.817377
6555.163212,   10.806485
6625.682126,   10.791940
6696.200888,   10.759564
6766.720198,   10.731343
6837.240043,   10.703784
6907.760385,   10.675755
6978.281251,   10.647983
7048.802629,   10.619963
7119.324543,   10.592149
7189.846990,   10.564844
7260.369946,   10.538122
7330.893422,   10.511072
7401.417411,   10.484294
7471.941906,   10.457311
7542.466928,   10.430142
7612.992493,   10.403262
7683.518596,   10.376202
7754.045240,   10.349421
7824.572400,   10.322400
7895.100080,   10.295142
7965.628310,   10.268195
8000.000000,   10.256584
