CD, CL
   0.116331,   -6.622119
   0.114292,   -6.468177
   0.112446,   -6.327496
   0.110725,   -6.195142
   0.109025,   -6.063299
   0.107343,   -5.931738
   0.105682,   -5.800710
   0.104039,   -5.669939
   0.102417,   -5.539723
   0.100812,   -5.409739
   0.099228,   -5.280330
   0.097661,   -5.151128
   0.096116,   -5.022523
   0.094586,   -4.894099
   0.093077,   -4.766291
   0.091585,   -4.638641
   0.090113,   -4.511626
   0.088657,   -4.384744
   0.087220,   -4.258514
   0.085800,   -4.132394
   0.084400,   -4.006944
   0.083014,   -3.881579
   0.081649,   -3.756902
   0.080298,   -3.632286
   0.078968,   -3.508373
   0.077651,   -3.384498
   0.076355,   -3.261341
   0.075073,   -3.138206
   0.073813,   -3.015791
   0.072566,   -2.893403
   0.071338,   -2.771704
   0.070124,   -2.650054
   0.068929,   -2.529063
   0.067748,   -2.408140
   0.066585,   -2.287847
   0.065435,   -2.167642
   0.064302,   -2.048036
   0.063182,   -1.928538
   0.062078,   -1.809609
   0.060865,   -1.677418
