CD, CL
   0.010815,   -6.622119
   0.010371,   -6.468177
   0.009983,   -6.327496
   0.009634,   -6.195142
   0.009300,   -6.063299
   0.008982,   -5.931738
   0.008679,   -5.800710
   0.008391,   -5.669939
   0.008119,   -5.539723
   0.007861,   -5.409739
   0.007619,   -5.280330
   0.007391,   -5.151128
   0.007178,   -5.022523
   0.006979,   -4.894099
   0.006795,   -4.766291
   0.006625,   -4.638641
   0.006470,   -4.511626
   0.006329,   -4.384744
   0.006200,   -4.258514
   0.006088,   -4.132394
   0.005988,   -4.006944
   0.005901,   -3.881579
   0.005829,   -3.756902
   0.005769,   -3.632286
   0.005723,   -3.508373
   0.005690,   -3.384498
   0.005671,   -3.261341
   0.005665,   -3.138206
   0.005673,   -3.015791
   0.005694,   -2.893403
   0.005728,   -2.771704
   0.005774,   -2.650054
   0.005834,   -2.529063
   0.005906,   -2.408140
   0.005990,   -2.287847
   0.006086,   -2.167642
   0.006192,   -2.048036
   0.006310,   -1.928538
   0.006439,   -1.809609
   0.006596,   -1.677418
