CD, CL
   0.011051,    0.000000
   0.011831,    0.057288
   0.014219,    0.114577
   0.018137,    0.171865
   0.023678,    0.229154
   0.030754,    0.286442
   0.039450,    0.343730
   0.049704,    0.401019
   0.061534,    0.458281
   0.074908,    0.515387
   0.089745,    0.572152
   0.105990,    0.628357
   0.123496,    0.683746
   0.142125,    0.738029
   0.161673,    0.790883
   0.181884,    0.841947
   0.202502,    0.890825
   0.223166,    0.937088
   0.243554,    0.980270
   0.263221,    1.019870
