alpha body, Epsilon
  -4.000000,   -0.161796
  -3.517241,    0.030789
  -3.034483,    0.224814
  -2.551724,    0.419968
  -2.068966,    0.616335
  -1.586207,    0.813768
  -1.103448,    1.012250
  -0.620690,    1.211763
  -0.137931,    1.412294
   0.344828,    1.613956
   0.827586,    1.816593
   1.310345,    2.020189
   1.793103,    2.224725
   2.275862,    2.430186
   2.758621,    2.636666
   3.241379,    2.844044
   3.724138,    3.052291
   4.206897,    3.261390
   4.689655,    3.471325
   5.172414,    3.682164
   5.655172,    3.893828
   6.137931,    4.106274
   6.620690,    4.319485
   7.103448,    4.533444
   7.586207,    4.748193
   8.068966,    4.918720
   8.551724,    4.953096
   9.034483,    4.970541
   9.517241,    4.975259
  10.000000,    4.958138
