alpha body, Epsilon
  -4.000000,   -0.957521
  -3.517241,   -0.765408
  -3.034483,   -0.573294
  -2.551724,   -0.381180
  -2.068966,   -0.189066
  -1.586207,    0.003048
  -1.103448,    0.195162
  -0.620690,    0.387276
  -0.137931,    0.579389
   0.344828,    0.771503
   0.827586,    0.963617
   1.310345,    1.155731
   1.793103,    1.347845
   2.275862,    1.539959
   2.758621,    1.732073
   3.241379,    1.924186
   3.724138,    2.116300
   4.206897,    2.308414
   4.689655,    2.500528
   5.172414,    2.692642
   5.655172,    2.884756
   6.137931,    3.076869
   6.620690,    3.268983
   7.103448,    3.461097
   7.586207,    3.653211
   8.068966,    3.845325
   8.551724,    4.037439
   9.034483,    4.229553
   9.517241,    4.421666
  10.000000,    4.613780
