alpha body, Efficiency
  -4.000000,   23.288392
  -3.172414,   27.138744
  -2.344828,   31.015546
  -1.517241,   34.781229
  -0.689655,   38.232015
   0.137931,   41.233977
   0.965517,   43.611758
   1.793103,   45.294029
   2.620690,   46.248887
   3.448276,   46.495074
   4.275862,   46.129774
   5.103448,   45.236257
   5.931034,   43.936904
   6.758621,   42.343409
   7.586207,   40.558486
   8.413793,   38.585364
   9.241379,   36.367177
  10.068966,   33.916822
  10.896552,   31.291977
  11.724138,   28.574084
  12.551724,   25.871263
  13.379310,   23.319069
  14.206897,   21.159614
  15.034483,   19.436893
  15.862069,   18.228770
  16.689655,   17.615716
  17.517241,   17.675488
  18.344828,   18.505809
  19.172414,   20.235320
  20.000000,   23.029884
