alpha body, Neutral Point
  -4.000000,    0.161992
  -3.172414,    0.158662
  -2.344828,    0.152055
  -1.517241,    0.145560
  -0.689655,    0.136873
   0.137931,    0.130692
   0.965517,    0.126841
   1.793103,    0.120621
   2.620690,    0.114530
   3.448276,    0.108563
   4.275862,    0.107263
   5.103448,    0.112772
   5.931034,    0.115828
   6.758621,    0.114327
   7.586207,    0.114130
   8.413793,    0.123480
   9.241379,    0.153446
  10.068966,    0.207063
  10.896552,    0.282182
  11.724138,    0.371484
  12.551724,    0.446168
  13.379310,    0.404595
  14.206897,    0.327107
  15.034483,    0.329436
  15.862069,    0.361641
  16.689655,    0.426595
  17.517241,    0.569030
  18.344828,    1.138248
  19.172414,    0.290595
  20.000000,   -1.026829
