alpha, CL
  -4.000000,   -1.138323
  -3.517241,   -1.116745
  -3.034483,   -1.095273
  -2.551724,   -1.073885
  -2.068966,   -1.052588
  -1.586207,   -1.031370
  -1.103448,   -1.010230
  -0.620690,   -0.989166
  -0.137931,   -0.968178
   0.344828,   -0.947275
   0.827586,   -0.926444
   1.310345,   -0.905684
   1.793103,   -0.884994
   2.275862,   -0.864373
   2.758621,   -0.843827
   3.241379,   -0.823349
   3.724138,   -0.802935
   4.206897,   -0.782584
   4.689655,   -0.762296
   5.172414,   -0.742074
   5.655172,   -0.721915
   6.137931,   -0.701813
   6.620690,   -0.681768
   7.103448,   -0.661779
   7.586207,   -0.641848
   8.068966,   -0.618629
   8.551724,   -0.585286
   9.034483,   -0.550683
   9.517241,   -0.515133
  10.000000,   -0.477960
