alpha, CL
  -4.000000,    0.057381
  -3.517241,    0.097227
  -3.034483,    0.137072
  -2.551724,    0.176917
  -2.068966,    0.216762
  -1.586207,    0.256607
  -1.103448,    0.296453
  -0.620690,    0.336298
  -0.137931,    0.376143
   0.344828,    0.415988
   0.827586,    0.455833
   1.310345,    0.495679
   1.793103,    0.535524
   2.275862,    0.575369
   2.758621,    0.615214
   3.241379,    0.655059
   3.724138,    0.694905
   4.206897,    0.734750
   4.689655,    0.774595
   5.172414,    0.814440
   5.655172,    0.854285
   6.137931,    0.894130
   6.620690,    0.933976
   7.103448,    0.973821
   7.586207,    1.013762
   8.068966,    1.054046
   8.551724,    1.094854
   9.034483,    1.136268
   9.517241,    1.178270
  10.000000,    1.220741
