alpha, CL
  -4.000000,   -0.890331
  -3.517241,   -0.868752
  -3.034483,   -0.847280
  -2.551724,   -0.825893
  -2.068966,   -0.804595
  -1.586207,   -0.783377
  -1.103448,   -0.762237
  -0.620690,   -0.741173
  -0.137931,   -0.720186
   0.344828,   -0.699282
   0.827586,   -0.678451
   1.310345,   -0.657691
   1.793103,   -0.637001
   2.275862,   -0.616380
   2.758621,   -0.595835
   3.241379,   -0.575356
   3.724138,   -0.554942
   4.206897,   -0.534591
   4.689655,   -0.514303
   5.172414,   -0.494082
   5.655172,   -0.473922
   6.137931,   -0.453820
   6.620690,   -0.433775
   7.103448,   -0.413786
   7.586207,   -0.393856
   8.068966,   -0.370637
   8.551724,   -0.337293
   9.034483,   -0.302690
   9.517241,   -0.267141
  10.000000,   -0.229967
