alpha, CL
  -4.000000,   -0.434156
  -3.517241,   -0.412577
  -3.034483,   -0.391106
  -2.551724,   -0.369718
  -2.068966,   -0.348421
  -1.586207,   -0.327203
  -1.103448,   -0.306063
  -0.620690,   -0.284999
  -0.137931,   -0.264011
   0.344828,   -0.243108
   0.827586,   -0.222277
   1.310345,   -0.201517
   1.793103,   -0.180827
   2.275862,   -0.160206
   2.758621,   -0.139660
   3.241379,   -0.119182
   3.724138,   -0.098768
   4.206897,   -0.078417
   4.689655,   -0.058129
   5.172414,   -0.037907
   5.655172,   -0.017748
   6.137931,    0.002354
   6.620690,    0.022399
   7.103448,    0.042388
   7.586207,    0.062319
   8.068966,    0.085538
   8.551724,    0.118881
   9.034483,    0.153484
   9.517241,    0.189034
  10.000000,    0.226207
