alpha, CL
  -4.000000,   -1.099289
  -3.517241,   -1.077710
  -3.034483,   -1.056238
  -2.551724,   -1.034851
  -2.068966,   -1.013553
  -1.586207,   -0.992335
  -1.103448,   -0.971195
  -0.620690,   -0.950131
  -0.137931,   -0.929144
   0.344828,   -0.908240
   0.827586,   -0.887409
   1.310345,   -0.866649
   1.793103,   -0.845959
   2.275862,   -0.825338
   2.758621,   -0.804793
   3.241379,   -0.784314
   3.724138,   -0.763900
   4.206897,   -0.743549
   4.689655,   -0.723261
   5.172414,   -0.703040
   5.655172,   -0.682880
   6.137931,   -0.662778
   6.620690,   -0.642733
   7.103448,   -0.622744
   7.586207,   -0.602814
   8.068966,   -0.579595
   8.551724,   -0.546251
   9.034483,   -0.511648
   9.517241,   -0.476099
  10.000000,   -0.438925
