alpha, CL
  -4.000000,   -1.279157
  -3.517241,   -1.257578
  -3.034483,   -1.236106
  -2.551724,   -1.214719
  -2.068966,   -1.193421
  -1.586207,   -1.172203
  -1.103448,   -1.151063
  -0.620690,   -1.130000
  -0.137931,   -1.109012
   0.344828,   -1.088108
   0.827586,   -1.067277
   1.310345,   -1.046517
   1.793103,   -1.025827
   2.275862,   -1.005206
   2.758621,   -0.984661
   3.241379,   -0.964182
   3.724138,   -0.943768
   4.206897,   -0.923418
   4.689655,   -0.903129
   5.172414,   -0.882908
   5.655172,   -0.862748
   6.137931,   -0.842646
   6.620690,   -0.822601
   7.103448,   -0.802612
   7.586207,   -0.782682
   8.068966,   -0.759463
   8.551724,   -0.726119
   9.034483,   -0.691516
   9.517241,   -0.655967
  10.000000,   -0.618793
