alpha, CL
  -4.000000,   -0.665908
  -3.517241,   -0.644330
  -3.034483,   -0.622858
  -2.551724,   -0.601470
  -2.068966,   -0.580173
  -1.586207,   -0.558955
  -1.103448,   -0.537815
  -0.620690,   -0.516751
  -0.137931,   -0.495763
   0.344828,   -0.474860
   0.827586,   -0.454029
   1.310345,   -0.433269
   1.793103,   -0.412579
   2.275862,   -0.391958
   2.758621,   -0.371412
   3.241379,   -0.350934
   3.724138,   -0.330520
   4.206897,   -0.310169
   4.689655,   -0.289881
   5.172414,   -0.269660
   5.655172,   -0.249500
   6.137931,   -0.229398
   6.620690,   -0.209353
   7.103448,   -0.189364
   7.586207,   -0.169434
   8.068966,   -0.146214
   8.551724,   -0.112871
   9.034483,   -0.078268
   9.517241,   -0.042718
  10.000000,   -0.005545
