alpha, CL
  -4.000000,   -0.202404
  -3.517241,   -0.180825
  -3.034483,   -0.159354
  -2.551724,   -0.137966
  -2.068966,   -0.116669
  -1.586207,   -0.095451
  -1.103448,   -0.074310
  -0.620690,   -0.053247
  -0.137931,   -0.032259
   0.344828,   -0.011356
   0.827586,    0.009476
   1.310345,    0.030235
   1.793103,    0.050925
   2.275862,    0.071547
   2.758621,    0.092092
   3.241379,    0.112570
   3.724138,    0.132984
   4.206897,    0.153335
   4.689655,    0.173623
   5.172414,    0.193845
   5.655172,    0.214005
   6.137931,    0.234106
   6.620690,    0.254151
   7.103448,    0.274140
   7.586207,    0.294071
   8.068966,    0.317290
   8.551724,    0.350634
   9.034483,    0.385236
   9.517241,    0.420786
  10.000000,    0.457959
