alpha, CL
  -4.000000,   -1.073027
  -3.517241,   -1.051449
  -3.034483,   -1.029977
  -2.551724,   -1.008590
  -2.068966,   -0.987292
  -1.586207,   -0.966074
  -1.103448,   -0.944934
  -0.620690,   -0.923870
  -0.137931,   -0.902883
   0.344828,   -0.881979
   0.827586,   -0.861148
   1.310345,   -0.840388
   1.793103,   -0.819698
   2.275862,   -0.799077
   2.758621,   -0.778532
   3.241379,   -0.758053
   3.724138,   -0.737639
   4.206897,   -0.717288
   4.689655,   -0.697000
   5.172414,   -0.676779
   5.655172,   -0.656619
   6.137931,   -0.636517
   6.620690,   -0.616472
   7.103448,   -0.596483
   7.586207,   -0.576553
   8.068966,   -0.553334
   8.551724,   -0.519990
   9.034483,   -0.485387
   9.517241,   -0.449838
  10.000000,   -0.412664
