alpha_b, CD
  -4.000000,    0.007577
  -3.517241,    0.007446
  -3.034483,    0.007325
  -2.551724,    0.007214
  -2.068966,    0.007116
  -1.586207,    0.007036
  -1.103448,    0.006973
  -0.620690,    0.006931
  -0.137931,    0.006912
   0.344828,    0.006918
   0.827586,    0.006950
   1.310345,    0.007010
   1.793103,    0.007101
   2.275862,    0.007224
   2.758621,    0.007380
   3.241379,    0.007572
   3.724138,    0.007802
   4.206897,    0.008070
   4.689655,    0.008380
   5.172414,    0.008732
   5.655172,    0.009129
   6.137931,    0.009573
   6.620690,    0.010065
   7.103448,    0.010607
   7.586207,    0.011202
   8.068966,    0.011851
