OEW (kg), LTO_CO (kg)
12711.787873,    0.094112
12717.683889,    0.094111
12720.739232,    0.094111
12717.150533,    0.094111
12716.814583,    0.094111
12715.670907,    0.094111
12716.905214,    0.094111
12710.908866,    0.094112
12712.958652,    0.094111
12719.804629,    0.094111
12712.942827,    0.094111
12715.070027,    0.094111
12719.177485,    0.094111
12716.344587,    0.094111
12713.920492,    0.094111
12714.822798,    0.094111
12711.441663,    0.094112
12719.198316,    0.094111
12712.031696,    0.094111
12710.780939,    0.094112
12711.179365,    0.094112
12716.883498,    0.094111
12717.219466,    0.094111
12712.702237,    0.094111
12714.278195,    0.094111
12711.364828,    0.094111
12714.355662,    0.094111
12712.915421,    0.094111
12712.240421,    0.094111
12714.193416,    0.094111
12711.321999,    0.094112
12716.534745,    0.094111
12712.831993,    0.094111
12720.024821,    0.094111
12712.642028,    0.094111
12712.025716,    0.094112
12714.657917,    0.094111
12714.517236,    0.094111
12712.525404,    0.094111
12713.454519,    0.094111
12719.002318,    0.094111
12714.391159,    0.094111
12720.944151,    0.094111
12710.822305,    0.094112
12711.427397,    0.094112
12718.916154,    0.094111
12712.558110,    0.094111
12719.600101,    0.094111
12713.754655,    0.094111
12713.300381,    0.094111
12714.158558,    0.094111
12718.256396,    0.094111
12713.094058,    0.094111
12712.546665,    0.094111
12718.519622,    0.094111
12714.224687,    0.094111
12713.217126,    0.094111
12711.764817,    0.094111
12711.253729,    0.094112
12711.661540,    0.094112
12713.670815,    0.094111
12714.070221,    0.094111
12713.348359,    0.094111
12712.901038,    0.094111
12713.817147,    0.094111
12712.596372,    0.094111
12715.989667,    0.094111
12712.808915,    0.094111
12716.572677,    0.094111
12715.570012,    0.094111
12713.825730,    0.094111
12712.097521,    0.094112
12720.566748,    0.094111
12712.117500,    0.094112
12711.977873,    0.094112
12716.065095,    0.094111
12713.125557,    0.094111
12712.458241,    0.094112
12717.518522,    0.094111
12711.734066,    0.094112
12716.007771,    0.094111
12714.265617,    0.094111
12717.810150,    0.094111
12712.810414,    0.094111
12715.200647,    0.094111
12712.635736,    0.094111
12718.605758,    0.094111
12717.866956,    0.094111
12711.287451,    0.094112
12715.493103,    0.094111
12711.885051,    0.094112
12710.957919,    0.094112
12713.375972,    0.094111
12711.564170,    0.094112
12717.351948,    0.094111
12715.502375,    0.094111
12714.144945,    0.094111
12715.201273,    0.094111
12715.356603,    0.094111
12719.012458,    0.094111
12712.973716,    0.094111
12711.117981,    0.094112
12713.514543,    0.094111
12712.410138,    0.094111
12716.226282,    0.094111
12713.998502,    0.094111
12715.787706,    0.094111
12712.270769,    0.094111
12718.041444,    0.094111
12717.503810,    0.094111
12710.773303,    0.094112
12713.172858,    0.094111
12711.503487,    0.094112
12713.836075,    0.094111
12714.416688,    0.094111
12717.063660,    0.094111
12716.716309,    0.094111
12718.286306,    0.094111
12714.725392,    0.094111
12715.270523,    0.094111
12718.615563,    0.094111
12718.072241,    0.094111
12714.933402,    0.094111
12711.853499,    0.094112
