alpha, CL
  -3.862750,   -1.020648
  -3.307608,   -0.983402
  -2.755662,   -0.946371
  -2.206604,   -0.909533
  -1.660339,   -0.872882
  -1.116773,   -0.836413
  -0.575814,   -0.800118
  -0.037367,   -0.763992
   0.498662,   -0.728028
   1.032365,   -0.692221
   1.563835,   -0.656563
   2.105066,   -0.620250
   2.661761,   -0.582900
   3.221506,   -0.545345
   3.784394,   -0.507579
   4.353502,   -0.469396
   4.950702,   -0.429328
   5.608450,   -0.385198
   6.356867,   -0.334984
   7.222768,   -0.276888
   8.216878,   -0.210190
   9.289229,   -0.138243
  10.180020,   -0.078476
  11.046417,   -0.020165
  11.913449,    0.038703
  12.781057,    0.098126
  13.649180,    0.157707
  14.517759,    0.216658
  15.386730,    0.273791
  16.256032,    0.327527
