alpha, CL
  -3.862750,   -0.670252
  -3.307608,   -0.633006
  -2.755662,   -0.595974
  -2.206604,   -0.559136
  -1.660339,   -0.522486
  -1.116773,   -0.486016
  -0.575814,   -0.449722
  -0.037367,   -0.413596
   0.498662,   -0.377632
   1.032365,   -0.341824
   1.563835,   -0.306166
   2.105066,   -0.269853
   2.661761,   -0.232503
   3.221506,   -0.194948
   3.784394,   -0.157182
   4.353502,   -0.118999
   4.950702,   -0.078931
   5.608450,   -0.034801
   6.356867,    0.015413
   7.222768,    0.073508
   8.216878,    0.140206
   9.289229,    0.212153
  10.180020,    0.271921
  11.046417,    0.330231
  11.913449,    0.389100
  12.781057,    0.448522
  13.649180,    0.508104
  14.517759,    0.567054
  15.386730,    0.624188
  16.256032,    0.677924
