alpha, CL
  -3.862750,   -0.893734
  -3.307608,   -0.856488
  -2.755662,   -0.819456
  -2.206604,   -0.782618
  -1.660339,   -0.745968
  -1.116773,   -0.709499
  -0.575814,   -0.673204
  -0.037367,   -0.637078
   0.498662,   -0.601114
   1.032365,   -0.565306
   1.563835,   -0.529649
   2.105066,   -0.493336
   2.661761,   -0.455985
   3.221506,   -0.418431
   3.784394,   -0.380665
   4.353502,   -0.342482
   4.950702,   -0.302414
   5.608450,   -0.258283
   6.356867,   -0.208070
   7.222768,   -0.149974
   8.216878,   -0.083276
   9.289229,   -0.011329
  10.180020,    0.048439
  11.046417,    0.106749
  11.913449,    0.165617
  12.781057,    0.225040
  13.649180,    0.284621
  14.517759,    0.343572
  15.386730,    0.400706
  16.256032,    0.454441
