alpha body, CM
  -4.000000,   -0.135252
  -3.517241,   -0.130795
  -3.034483,   -0.126253
  -2.551724,   -0.121626
  -2.068966,   -0.116914
  -1.586207,   -0.112118
  -1.103448,   -0.107236
  -0.620690,   -0.102269
  -0.137931,   -0.097217
   0.344828,   -0.072045
   0.827586,   -0.071886
   1.310345,   -0.071641
   1.793103,   -0.071311
   2.275862,   -0.070896
   2.758621,   -0.070395
   3.241379,   -0.069810
   3.724138,   -0.069138
   4.206897,   -0.068381
   4.689655,   -0.067538
   5.172414,   -0.066610
   5.655172,   -0.065595
   6.137931,   -0.064494
   6.620690,   -0.063308
   7.103448,   -0.062035
   7.586207,   -0.060675
   8.068966,   -0.059228
   8.551724,   -0.057694
   9.034483,   -0.056074
   9.517241,   -0.054366
  10.000000,   -0.052636
