alpha body, CM
  -4.000000,    0.000550
  -3.517241,    0.000478
  -3.034483,    0.000412
  -2.551724,    0.000353
  -2.068966,    0.000299
  -1.586207,    0.000249
  -1.103448,    0.000204
  -0.620690,    0.000161
  -0.137931,    0.000120
   0.344828,    0.000081
   0.827586,    0.000042
   1.310345,    0.000002
   1.793103,   -0.000039
   2.275862,   -0.000083
   2.758621,   -0.000130
   3.241379,   -0.000181
   3.724138,   -0.000238
   4.206897,   -0.000301
   4.689655,   -0.000371
   5.172414,   -0.000449
   5.655172,   -0.000537
   6.137931,   -0.000635
   6.620690,   -0.000744
   7.103448,   -0.000865
   7.586207,   -0.000999
   8.068966,   -0.001148
   8.551724,   -0.001312
   9.034483,   -0.001492
   9.517241,   -0.001690
  10.000000,   -0.001907
