alpha body, CM
  -4.000000,    0.340834
  -3.517241,    0.319624
  -3.034483,    0.298255
  -2.551724,    0.276725
  -2.068966,    0.255025
  -1.586207,    0.233148
  -1.103448,    0.211104
  -0.620690,    0.188891
  -0.137931,    0.166509
   0.344828,    0.143948
   0.827586,    0.121197
   1.310345,    0.098270
   1.793103,    0.075166
   2.275862,    0.051883
   2.758621,    0.028417
   3.241379,    0.004749
   3.724138,   -0.019141
   4.206897,   -0.043224
   4.689655,   -0.067493
   5.172414,   -0.091948
   5.655172,   -0.116616
   6.137931,   -0.141472
   6.620690,   -0.166518
   7.103448,   -0.191753
   7.586207,   -0.217192
   8.068966,   -0.244679
   8.551724,   -0.282910
   9.034483,   -0.321137
   9.517241,   -0.359356
  10.000000,   -0.397563
