alpha body, CM
  -4.000000,   -0.104205
  -3.517241,   -0.094182
  -3.034483,   -0.084159
  -2.551724,   -0.074134
  -2.068966,   -0.064109
  -1.586207,   -0.054082
  -1.103448,   -0.044054
  -0.620690,   -0.034025
  -0.137931,   -0.023995
   0.344828,   -0.013964
   0.827586,   -0.003933
   1.310345,    0.006099
   1.793103,    0.016131
   2.275862,    0.026163
   2.758621,    0.036195
   3.241379,    0.046227
   3.724138,    0.056258
   4.206897,    0.066288
   4.689655,    0.076317
   5.172414,    0.086345
   5.655172,    0.096371
   6.137931,    0.106395
   6.620690,    0.116416
   7.103448,    0.126435
   7.586207,    0.136450
   8.068966,    0.146462
   8.551724,    0.156470
   9.034483,    0.166473
   9.517241,    0.176471
  10.000000,    0.186464
