eta, Cd
   0.000000,    0.015253
   0.020408,    0.015454
   0.040816,    0.015489
   0.061224,    0.015505
   0.081633,    0.015514
   0.102041,    0.015519
   0.122449,    0.015521
   0.142857,    0.015522
   0.163265,    0.015522
   0.183673,    0.015522
   0.204082,    0.015526
   0.224490,    0.015530
   0.244898,    0.015532
   0.265306,    0.015535
   0.285714,    0.015535
   0.306122,    0.015513
   0.326531,    0.015445
   0.346939,    0.015370
   0.367347,    0.015294
   0.387755,    0.015217
   0.408163,    0.015138
   0.428571,    0.015057
   0.448980,    0.014975
   0.469388,    0.014890
   0.489796,    0.014803
   0.510204,    0.014714
   0.530612,    0.014628
   0.551020,    0.014542
   0.571429,    0.014455
   0.591837,    0.014366
   0.612245,    0.014275
   0.632653,    0.014182
   0.653061,    0.014087
   0.673469,    0.013989
   0.693878,    0.013889
   0.714286,    0.013786
   0.734694,    0.013681
   0.755102,    0.013572
   0.775510,    0.013459
   0.795918,    0.013342
   0.816327,    0.013220
   0.836735,    0.013093
   0.857143,    0.012990
   0.877551,    0.012893
   0.897959,    0.012806
   0.918367,    0.012745
   0.938776,    0.012770
   0.959184,    0.013266
   0.979592,    0.017327
   1.000000,   -0.015151
