Speed (CAS), Rate of Climb
  63.830699,    1.482681
  65.059110,    1.566521
  66.287521,    1.643487
  67.515932,    1.713257
  68.744344,    1.776089
  69.972755,    1.831613
  71.201166,    1.880990
  72.429577,    1.923828
  73.657988,    1.959241
  74.886399,    1.988342
  76.114810,    2.011401
  77.343221,    2.027993
  78.571633,    2.038177
  79.800044,    2.042927
  81.028455,    2.041185
  82.256866,    2.032686
  83.485277,    2.018064
  84.713688,    1.999418
  85.942099,    1.974848
  87.170511,    1.942425
  88.398922,    1.905423
  89.627333,    1.864501
  90.855744,    1.815806
  92.084155,    1.762878
  93.312566,    1.703374
  94.540977,    1.640837
  95.769388,    1.570872
  96.997800,    1.495955
  98.226211,    1.416801
  99.454622,    1.334148
 100.683033,    1.242797
 101.911444,    1.148752
 103.139855,    1.049395
 104.368266,    0.945649
 105.596677,    0.836364
 106.825089,    0.720343
 108.053500,    0.603051
 109.281911,    0.478600
 110.510322,    0.346913
 111.738733,    0.213789
 112.967144,    0.075025
 114.195555,   -0.071863
 115.423966,   -0.222917
 116.652378,   -0.375097
 117.880789,   -0.538064
 119.109200,   -0.705719
 120.337611,   -0.877118
 121.566022,   -1.051629
 122.794433,   -1.237028
 124.022844,   -1.427132
 125.251255,   -1.620847
 126.479667,   -1.818422
 127.708078,   -2.025423
 128.936489,   -2.239659
 130.164900,   -2.457758
 131.393311,   -2.680702
 132.621722,   -2.908739
 133.850133,   -3.146010
 135.078545,   -3.390520
 136.306956,   -3.640413
 137.535367,   -3.895725
 138.763778,   -4.156187
 139.992189,   -4.421718
 141.220600,   -4.697711
 142.449011,   -4.981401
 143.677422,   -5.270427
 144.905834,   -5.565091
 146.134245,   -5.865611
 147.362656,   -6.172026
 148.591067,   -6.483858
 149.819478,   -6.806648
 151.047889,   -7.137519
 152.276300,   -7.474496
 153.504711,   -7.817448
 154.733123,   -8.166702
 155.961534,   -8.522299
 157.189945,   -8.884119
 158.418356,   -9.252246
 159.646767,   -9.628539
 160.875178,  -10.016606
 162.103589,  -10.411256
 163.332000,  -10.812637
 164.560412,  -11.220811
 165.788823,  -11.635822
 167.017234,  -12.057709
 168.245645,  -12.486519
 169.474056,  -12.922295
 170.702467,  -13.365145
 171.930878,  -13.815129
 173.159289,  -14.276918
 174.387701,  -14.748167
 175.616112,  -15.226970
 176.844523,  -15.713235
 178.072934,  -16.206926
 179.301345,  -16.708098
 180.529756,  -17.217244
 181.758167,  -17.733955
 182.986579,  -18.258276
 184.214990,  -18.790448
 185.443401,  -19.330766
