Cl, Efficiency
  -0.391844,   -2.423574
  -0.312264,   -1.940179
  -0.232443,   -1.450708
  -0.152384,   -0.955150
  -0.072088,   -0.453668
   0.008444,    0.053331
   0.089210,    0.565209
   0.170211,    1.081050
   0.251445,    1.599835
   0.333993,    2.127210
   0.414668,    2.641149
   0.495578,    3.153547
   0.576724,    3.662809
   0.658108,    4.167089
   0.739730,    4.664215
   0.821593,    5.152182
   0.903696,    5.629348
   0.986044,    6.093699
   1.068636,    6.543110
   1.151475,    6.975005
   1.234562,    7.388414
   1.317902,    7.781836
   1.401495,    8.153625
   1.482959,    8.488460
   1.552796,    8.731098
   1.604026,    8.846973
   1.634648,    8.828991
   1.647702,    8.688679
   1.651244,    8.513396
