Cl, Efficiency
  -0.366794,   -2.268639
  -0.288853,   -1.794718
  -0.210918,   -1.316363
  -0.132988,   -0.833570
  -0.055060,   -0.346505
   0.022867,    0.144433
   0.100797,    0.638617
   0.178730,    1.135161
   0.256670,    1.633078
   0.335659,    2.137828
   0.412625,    2.628043
   0.489605,    3.115213
   0.566600,    3.597669
   0.643614,    4.073294
   0.720647,    4.540768
   0.797703,    4.997084
   0.874784,    5.441308
   0.951892,    5.869924
   1.029030,    6.281031
   1.106199,    6.643300
   1.183402,    7.013283
