eta, Cm
   0.000000,   -0.086145
   0.020408,   -0.087922
   0.040816,   -0.089581
   0.061224,   -0.091306
   0.081633,   -0.093100
   0.102041,   -0.094964
   0.122449,   -0.096896
   0.142857,   -0.098897
   0.163265,   -0.100968
   0.183673,   -0.103106
   0.204082,   -0.105312
   0.224490,   -0.107586
   0.244898,   -0.109925
   0.265306,   -0.112329
   0.285714,   -0.114798
   0.306122,   -0.117329
   0.326531,   -0.119921
   0.346939,   -0.122572
   0.367347,   -0.125282
   0.387755,   -0.128046
   0.408163,   -0.130864
   0.428571,   -0.133731
   0.448980,   -0.136646
   0.469388,   -0.139603
   0.489796,   -0.142600
   0.510204,   -0.145631
   0.530612,   -0.148690
   0.551020,   -0.151770
   0.571429,   -0.154865
   0.591837,   -0.157965
   0.612245,   -0.161060
   0.632653,   -0.164138
   0.653061,   -0.167185
   0.673469,   -0.170184
   0.693878,   -0.173115
   0.714286,   -0.175957
   0.734694,   -0.178680
   0.755102,   -0.181251
   0.775510,   -0.183631
   0.795918,   -0.185770
   0.816327,   -0.187607
   0.836735,   -0.189067
   0.857143,   -0.190050
   0.877551,   -0.190429
   0.897959,   -0.190029
   0.918367,   -0.188600
   0.938776,   -0.185753
   0.959184,   -0.180811
   0.979592,   -0.172248
   1.000000,    0.000000
