eta, Cm
   0.000000,    0.026338
   0.020408,    0.020775
   0.040816,    0.015585
   0.061224,    0.010184
   0.081633,    0.004569
   0.102041,   -0.001263
   0.122449,   -0.007310
   0.142857,   -0.013575
   0.163265,   -0.020054
   0.183673,   -0.026747
   0.204082,   -0.033653
   0.224490,   -0.040767
   0.244898,   -0.048089
   0.265306,   -0.055614
   0.285714,   -0.063340
   0.306122,   -0.071261
   0.326531,   -0.079374
   0.346939,   -0.087673
   0.367347,   -0.096152
   0.387755,   -0.104805
   0.408163,   -0.113623
   0.428571,   -0.122598
   0.448980,   -0.131720
   0.469388,   -0.140977
   0.489796,   -0.150356
   0.510204,   -0.159842
   0.530612,   -0.169416
   0.551020,   -0.179058
   0.571429,   -0.188743
   0.591837,   -0.198446
   0.612245,   -0.208133
   0.632653,   -0.217766
   0.653061,   -0.227302
   0.673469,   -0.236688
   0.693878,   -0.245864
   0.714286,   -0.254756
   0.734694,   -0.263279
   0.755102,   -0.271327
   0.775510,   -0.278776
   0.795918,   -0.285471
   0.816327,   -0.291221
   0.836735,   -0.295789
   0.857143,   -0.298866
   0.877551,   -0.300053
   0.897959,   -0.298801
   0.918367,   -0.294327
   0.938776,   -0.285419
   0.959184,   -0.269950
   0.979592,   -0.243150
   1.000000,    0.000000
