eta, Cm
   0.000000,   -0.063648
   0.020408,   -0.066183
   0.040816,   -0.068548
   0.061224,   -0.071008
   0.081633,   -0.073567
   0.102041,   -0.076223
   0.122449,   -0.078979
   0.142857,   -0.081833
   0.163265,   -0.084785
   0.183673,   -0.087834
   0.204082,   -0.090980
   0.224490,   -0.094222
   0.244898,   -0.097558
   0.265306,   -0.100986
   0.285714,   -0.104506
   0.306122,   -0.108115
   0.326531,   -0.111811
   0.346939,   -0.115593
   0.367347,   -0.119456
   0.387755,   -0.123398
   0.408163,   -0.127415
   0.428571,   -0.131505
   0.448980,   -0.135661
   0.469388,   -0.139878
   0.489796,   -0.144151
   0.510204,   -0.148473
   0.530612,   -0.152835
   0.551020,   -0.157228
   0.571429,   -0.161641
   0.591837,   -0.166061
   0.612245,   -0.170475
   0.632653,   -0.174863
   0.653061,   -0.179208
   0.673469,   -0.183485
   0.693878,   -0.187665
   0.714286,   -0.191717
   0.734694,   -0.195599
   0.755102,   -0.199266
   0.775510,   -0.202660
   0.795918,   -0.205710
   0.816327,   -0.208330
   0.836735,   -0.210411
   0.857143,   -0.211813
   0.877551,   -0.212354
   0.897959,   -0.211783
   0.918367,   -0.209745
   0.938776,   -0.205687
   0.959184,   -0.198639
   0.979592,   -0.186429
   1.000000,    0.000000
