eta, Cm
   0.000000,    0.044762
   0.020408,    0.043297
   0.040816,    0.041977
   0.061224,    0.040614
   0.081633,    0.039196
   0.102041,    0.037717
   0.122449,    0.036173
   0.142857,    0.034561
   0.163265,    0.032879
   0.183673,    0.031126
   0.204082,    0.029302
   0.224490,    0.027406
   0.244898,    0.025437
   0.265306,    0.023397
   0.285714,    0.021285
   0.306122,    0.019102
   0.326531,    0.016847
   0.346939,    0.014523
   0.367347,    0.012131
   0.387755,    0.009670
   0.408163,    0.007144
   0.428571,    0.004554
   0.448980,    0.001903
   0.469388,   -0.000807
   0.489796,   -0.003571
   0.510204,   -0.006387
   0.530612,   -0.009248
   0.551020,   -0.012148
   0.571429,   -0.015081
   0.591837,   -0.018038
   0.612245,   -0.021010
   0.632653,   -0.023983
   0.653061,   -0.026945
   0.673469,   -0.029877
   0.693878,   -0.032761
   0.714286,   -0.035572
   0.734694,   -0.038281
   0.755102,   -0.040854
   0.775510,   -0.043249
   0.795918,   -0.045414
   0.816327,   -0.047288
   0.836735,   -0.048791
   0.857143,   -0.049825
   0.877551,   -0.050261
   0.897959,   -0.049924
   0.918367,   -0.048568
   0.938776,   -0.045812
   0.959184,   -0.040990
   0.979592,   -0.032611
   1.000000,    0.000000
