eta, Cm
   0.000000,    0.223809
   0.020408,    0.216484
   0.040816,    0.209886
   0.061224,    0.203071
   0.081633,    0.195982
   0.102041,    0.188586
   0.122449,    0.180864
   0.142857,    0.172803
   0.163265,    0.164393
   0.183673,    0.155629
   0.204082,    0.146508
   0.224490,    0.137028
   0.244898,    0.127186
   0.265306,    0.116985
   0.285714,    0.106425
   0.306122,    0.095508
   0.326531,    0.084237
   0.346939,    0.072617
   0.367347,    0.060653
   0.387755,    0.048352
   0.408163,    0.035721
   0.428571,    0.022772
   0.448980,    0.009515
   0.469388,   -0.004033
   0.489796,   -0.017856
   0.510204,   -0.031933
   0.530612,   -0.046238
   0.551020,   -0.060740
   0.571429,   -0.075406
   0.591837,   -0.090192
   0.612245,   -0.105049
   0.632653,   -0.119916
   0.653061,   -0.134724
   0.673469,   -0.149387
   0.693878,   -0.163806
   0.714286,   -0.177861
   0.734694,   -0.191407
   0.755102,   -0.204271
   0.775510,   -0.216245
   0.795918,   -0.227072
   0.816327,   -0.236439
   0.836735,   -0.243956
   0.857143,   -0.249126
   0.877551,   -0.251304
   0.897959,   -0.249621
   0.918367,   -0.242840
   0.938776,   -0.229059
   0.959184,   -0.204951
   0.979592,   -0.163056
   1.000000,    0.000000
