eta, Ccl
   0.000000,    1.548091
   0.020408,    1.533731
   0.040816,    1.528794
   0.061224,    1.521540
   0.081633,    1.512327
   0.102041,    1.501393
   0.122449,    1.488914
   0.142857,    1.475022
   0.163265,    1.459822
   0.183673,    1.443397
   0.204082,    1.425811
   0.224490,    1.407109
   0.244898,    1.387323
   0.265306,    1.366469
   0.285714,    1.344087
   0.306122,    1.320431
   0.326531,    1.296924
   0.346939,    1.271364
   0.367347,    1.244972
   0.387755,    1.217894
   0.408163,    1.190246
   0.428571,    1.162122
   0.448980,    1.133603
   0.469388,    1.104759
   0.489796,    1.075648
   0.510204,    1.046317
   0.530612,    1.016809
   0.551020,    0.987166
   0.571429,    0.957418
   0.591837,    0.927588
   0.612245,    0.897694
   0.632653,    0.867745
   0.653061,    0.837745
   0.673469,    0.807687
   0.693878,    0.777556
   0.714286,    0.747324
   0.734694,    0.716949
   0.755102,    0.686368
   0.775510,    0.655494
   0.795918,    0.624206
   0.816327,    0.592332
   0.836735,    0.559635
   0.857143,    0.525773
   0.877551,    0.490249
   0.897959,    0.452310
   0.918367,    0.410761
   0.938776,    0.363571
   0.959184,    0.306861
   0.979592,    0.231338
   1.000000,    0.000000
