eta, total load
   0.000000, 19940.962083
   0.020408, 19756.400916
   0.040816, 19694.042570
   0.061224, 19602.695196
   0.081633, 19487.020849
   0.102041, 19350.131035
   0.122449, 19194.331413
   0.142857, 19021.422708
   0.163265, 18832.856782
   0.183673, 18629.828939
   0.204082, 18413.337814
   0.224490, 18184.228860
   0.244898, 17943.233811
   0.265306, 17691.027559
   0.285714, 17422.479072
   0.306122, 17142.652299
   0.326531, 16871.797930
   0.346939, 16578.879025
   0.367347, 16278.031810
   0.387755, 15970.246886
   0.408163, 15656.364611
   0.428571, 15337.115730
   0.448980, 15013.135472
   0.469388, 14684.972154
   0.489796, 14353.093916
   0.510204, 14017.833879
   0.530612, 13679.514672
   0.551020, 13338.444857
   0.571429, 12994.801226
   0.591837, 12648.686839
   0.612245, 12300.125338
   0.632653, 11949.052008
   0.653061, 11595.300722
   0.673469, 11238.585534
   0.693878, 10878.475087
   0.714286, 10514.357127
   0.734694, 10145.389057
   0.755102, 9770.428333
   0.775510, 9387.933034
   0.795918, 8995.817069
   0.816327, 8591.234315
   0.836735, 8170.247353
   0.857143, 7727.300727
   0.877551, 7254.345210
   0.897959, 6739.295626
   0.918367, 6163.096042
   0.938776, 5493.476420
   0.959184, 4669.113760
   0.979592, 3543.945571
   1.000000,    0.000000
