eta, total load
   0.000000, 13382.027901
   0.020408, 13257.899748
   0.040816, 13215.224411
   0.061224, 13152.514960
   0.081633, 13072.876191
   0.102041, 12978.365674
   0.122449, 12870.490484
   0.142857, 12750.406181
   0.163265, 12619.017830
   0.183673, 12477.036755
   0.204082, 12325.013036
   0.224490, 12163.352529
   0.244898, 11992.322443
   0.265306, 11812.048609
   0.285714, 11618.581237
   0.306122, 11414.088424
   0.326531, 11210.890267
   0.346939, 10989.942378
   0.367347, 10761.802008
   0.387755, 10527.737222
   0.408163, 10288.739258
   0.428571, 10045.630581
   0.448980, 9799.109007
   0.469388, 9549.772197
   0.489796, 9298.133714
   0.510204, 9044.587127
   0.530612, 8789.512628
   0.551020, 8533.272795
   0.571429, 8276.125001
   0.591837, 8018.271687
   0.612245, 7759.859521
   0.632653, 7500.976391
   0.653061, 7241.645874
   0.673469, 6981.818566
   0.693878, 6721.359334
   0.714286, 6460.029062
   0.734694, 6197.458701
   0.755102, 5933.112284
   0.775510, 5666.233650
   0.795918, 5395.768418
   0.816327, 5120.247186
   0.836735, 4837.605713
   0.857143, 4544.898225
   0.877551, 4237.819604
   0.897959, 3909.861980
   0.918367, 3550.705760
   0.938776, 3142.787836
   0.959184, 2652.569964
   0.979592, 1999.738720
   1.000000,    0.000000
