eta, total load
   0.000000, 46176.698814
   0.020408, 45750.405587
   0.040816, 45609.315206
   0.061224, 45403.416139
   0.081633, 45143.599484
   0.102041, 44837.192480
   0.122449, 44489.695130
   0.142857, 44105.488815
   0.163265, 43688.212591
   0.183673, 43240.997677
   0.204082, 42766.636926
   0.224490, 42267.734188
   0.244898, 41746.879280
   0.265306, 41206.943362
   0.285714, 40638.070412
   0.306122, 40056.907800
   0.326531, 39515.428580
   0.346939, 38934.625611
   0.367347, 38342.951016
   0.387755, 37740.285543
   0.408163, 37126.866022
   0.428571, 36503.056329
   0.448980, 35869.241334
   0.469388, 35225.771984
   0.489796, 34572.934721
   0.510204, 33910.820890
   0.530612, 33239.522848
   0.551020, 32559.133105
   0.571429, 31869.506128
   0.591837, 31170.347446
   0.612245, 30461.188606
   0.632653, 29741.354477
   0.653061, 29009.920114
   0.673469, 28265.653406
   0.693878, 27506.938100
   0.714286, 26731.669389
   0.734694, 25937.110480
   0.755102, 25119.692526
   0.775510, 24274.730566
   0.795918, 23396.011672
   0.816327, 22475.182832
   0.836735, 21500.813912
   0.857143, 20456.910736
   0.877551, 19320.447630
   0.897959, 18057.030211
   0.918367, 16612.657168
   0.938776, 14896.230756
   0.959184, 12735.288947
   0.979592, 9720.772976
   1.000000,    0.000000
