CL_e, delta_e_eq
   0.156051,    0.705179
   0.231106,   -0.933188
   0.306151,   -2.577988
   0.381190,   -4.227603
   0.456228,   -5.913140
   0.531269,   -7.591818
   0.606320,   -9.362294
   0.681385,  -11.208203
   0.756468,  -13.491639
   0.832689,  -16.995544
   0.906908,  -25.000000
