CL_e, delta_e_eq
   0.148973,   -0.258222
   0.230405,   -1.028632
   0.312082,   -1.766336
   0.394001,   -2.474224
   0.476162,   -3.161881
   0.558563,   -3.791133
   0.641203,   -4.400411
   0.724083,   -4.990453
   0.807203,   -5.575905
   0.891773,   -5.971965
   0.974375,   -6.658877
   1.057216,   -7.327279
   1.140298,   -7.977060
   1.223621,   -8.631212
   1.307187,   -9.295074
   1.390996,   -9.939220
   1.475049,  -10.563261
   1.559349,  -11.166781
   1.643897,  -11.774792
   1.728694,  -12.508049
   1.813742,  -13.213917
   1.899043,  -13.891451
   1.984600,  -14.540847
   2.070407,  -15.514403
   2.155246,  -17.426761
   2.235729,  -21.774710
   2.308794,  -24.269117
   2.372041,  -25.000000
