eta, M
   0.000000, -1725.349023
   0.020408, -1768.696138
   0.040816, -1805.824111
   0.061224, -1843.836491
   0.081633, -1882.689788
   0.102041, -1922.315142
   0.122449, -1962.630278
   0.142857, -2003.544805
   0.163265, -2044.963163
   0.183673, -2086.786420
   0.204082, -2128.913425
   0.224490, -2171.241523
   0.244898, -2213.666966
   0.265306, -2256.085112
   0.285714, -2298.390437
   0.306122, -2340.476412
   0.326531, -2382.235266
   0.346939, -2423.557638
   0.367347, -2464.332136
   0.387755, -2504.444806
   0.408163, -2543.778496
   0.428571, -2582.212129
   0.448980, -2619.619855
   0.469388, -2655.870077
   0.489796, -2690.824324
   0.510204, -2724.334724
   0.530612, -2756.242923
   0.551020, -2786.381196
   0.571429, -2814.567486
   0.591837, -2840.603520
   0.612245, -2864.271792
   0.632653, -2885.331917
   0.653061, -2903.516179
   0.673469, -2918.524045
   0.693878, -2930.015308
   0.714286, -2937.601418
   0.734694, -2940.834323
   0.755102, -2939.191889
   0.775510, -2932.058404
   0.795918, -2918.697889
   0.816327, -2898.216473
   0.836735, -2869.507409
   0.857143, -2831.167204
   0.877551, -2781.360538
   0.897959, -2717.587238
   0.918367, -2636.242214
   0.938776, -2531.673508
   0.959184, -2393.747121
   0.979592, -2199.074416
   1.000000,    0.000000
