eta, M
   0.000000,  713.953076
   0.020408,  555.210974
   0.040816,  410.571706
   0.061224,  264.443831
   0.081633,  116.922801
   0.102041,  -31.840242
   0.122449, -181.664714
   0.142857, -332.352220
   0.163265, -483.693012
   0.183673, -635.469951
   0.204082, -787.461022
   0.224490, -939.440907
   0.244898, -1091.181895
   0.265306, -1242.454306
   0.285714, -1393.026527
   0.306122, -1542.664744
   0.326531, -1691.132410
   0.346939, -1838.189489
   0.367347, -1983.591493
   0.387755, -2127.088300
   0.408163, -2268.422782
   0.428571, -2407.329186
   0.448980, -2543.531288
   0.469388, -2676.740247
   0.489796, -2806.652136
   0.510204, -2932.942394
   0.530612, -3055.263452
   0.551020, -3173.247173
   0.571429, -3286.493966
   0.591837, -3394.568645
   0.612245, -3496.993810
   0.632653, -3593.241842
   0.653061, -3682.725139
   0.673469, -3764.784067
   0.693878, -3838.671913
   0.714286, -3903.535852
   0.734694, -3958.392469
   0.755102, -4002.095738
   0.775510, -4033.294246
   0.795918, -4050.372610
   0.816327, -4051.368884
   0.836735, -4033.853893
   0.857143, -3994.747140
   0.877551, -3930.020314
   0.897959, -3834.185834
   0.918367, -3699.330960
   0.938776, -3513.050317
   0.959184, -3253.100987
   0.979592, -2868.147705
   1.000000,    0.000000
