eta, M
   0.000000, -2335.174548
   0.020408, -2349.672916
   0.040816, -2359.923065
   0.061224, -2370.906571
   0.081633, -2382.592935
   0.102041, -2394.933867
   0.122449, -2407.871669
   0.142857, -2421.342952
   0.163265, -2435.280700
   0.183673, -2449.615537
   0.204082, -2464.276526
   0.224490, -2479.191677
   0.244898, -2494.288234
   0.265306, -2509.492814
   0.285714, -2524.731414
   0.306122, -2539.929329
   0.326531, -2555.010980
   0.346939, -2569.899675
   0.367347, -2584.517297
   0.387755, -2598.783932
   0.408163, -2612.617424
   0.428571, -2625.932864
   0.448980, -2638.641997
   0.469388, -2650.652534
   0.489796, -2661.867371
   0.510204, -2672.182807
   0.530612, -2681.487791
   0.551020, -2689.664702
   0.571429, -2696.585866
   0.591837, -2702.112239
   0.612245, -2706.091288
   0.632653, -2708.354436
   0.653061, -2708.713939
   0.673469, -2706.959039
   0.693878, -2702.851157
   0.714286, -2696.117809
   0.734694, -2686.444786
   0.755102, -2673.465926
   0.775510, -2656.749443
   0.795918, -2635.779209
   0.816327, -2609.928370
   0.836735, -2578.420787
   0.857143, -2540.272220
   0.877551, -2494.195594
   0.897959, -2438.437589
   0.918367, -2370.470028
   0.938776, -2286.329306
   0.959184, -2178.908655
   0.979592, -2031.806094
   1.000000,    0.000000
