eta, Cl_add.
   0.000000,    1.033146
   0.020408,    1.040848
   0.040816,    1.055802
   0.061224,    1.070429
   0.081633,    1.084672
   0.102041,    1.098511
   0.122449,    1.111946
   0.142857,    1.124990
   0.163265,    1.137665
   0.183673,    1.149995
   0.204082,    1.162010
   0.224490,    1.173744
   0.244898,    1.185239
   0.265306,    1.196544
   0.285714,    1.207527
   0.306122,    1.217176
   0.326531,    1.224481
   0.346939,    1.231141
   0.367347,    1.237556
   0.387755,    1.243701
   0.408163,    1.249556
   0.428571,    1.255106
   0.448980,    1.260335
   0.469388,    1.265226
   0.489796,    1.269758
   0.510204,    1.273902
   0.530612,    1.277628
   0.551020,    1.280902
   0.571429,    1.283680
   0.591837,    1.285909
   0.612245,    1.287521
   0.632653,    1.288436
   0.653061,    1.288552
   0.673469,    1.287745
   0.693878,    1.285861
   0.714286,    1.282703
   0.734694,    1.278025
   0.755102,    1.271510
   0.775510,    1.262747
   0.795918,    1.251198
   0.816327,    1.236143
   0.836735,    1.216606
   0.857143,    1.191229
   0.877551,    1.158075
   0.897959,    1.114277
   0.918367,    1.055401
   0.938776,    0.974107
   0.959184,    0.856849
   0.979592,    0.672502
   1.000000,    0.000000
