eta, Cl_add.
   0.000000,    0.254434
   0.020408,    0.256331
   0.040816,    0.260014
   0.061224,    0.263616
   0.081633,    0.267124
   0.102041,    0.270532
   0.122449,    0.273840
   0.142857,    0.277053
   0.163265,    0.280174
   0.183673,    0.283211
   0.204082,    0.286170
   0.224490,    0.289060
   0.244898,    0.291890
   0.265306,    0.294675
   0.285714,    0.297379
   0.306122,    0.299756
   0.326531,    0.301555
   0.346939,    0.303195
   0.367347,    0.304775
   0.387755,    0.306288
   0.408163,    0.307730
   0.428571,    0.309097
   0.448980,    0.310385
   0.469388,    0.311589
   0.489796,    0.312705
   0.510204,    0.313726
   0.530612,    0.314643
   0.551020,    0.315450
   0.571429,    0.316134
   0.591837,    0.316683
   0.612245,    0.317080
   0.632653,    0.317305
   0.653061,    0.317333
   0.673469,    0.317135
   0.693878,    0.316671
   0.714286,    0.315893
   0.734694,    0.314741
   0.755102,    0.313136
   0.775510,    0.310978
   0.795918,    0.308134
   0.816327,    0.304427
   0.836735,    0.299615
   0.857143,    0.293366
   0.877551,    0.285201
   0.897959,    0.274415
   0.918367,    0.259915
   0.938776,    0.239895
   0.959184,    0.211017
   0.979592,    0.165618
   1.000000,    0.000000
