eta, Cl_add.
   0.000000,    0.059756
   0.020408,    0.060202
   0.040816,    0.061067
   0.061224,    0.061913
   0.081633,    0.062737
   0.102041,    0.063537
   0.122449,    0.064314
   0.142857,    0.065069
   0.163265,    0.065802
   0.183673,    0.066515
   0.204082,    0.067210
   0.224490,    0.067888
   0.244898,    0.068553
   0.265306,    0.069207
   0.285714,    0.069842
   0.306122,    0.070401
   0.326531,    0.070823
   0.346939,    0.071208
   0.367347,    0.071579
   0.387755,    0.071935
   0.408163,    0.072273
   0.428571,    0.072594
   0.448980,    0.072897
   0.469388,    0.073180
   0.489796,    0.073442
   0.510204,    0.073682
   0.530612,    0.073897
   0.551020,    0.074086
   0.571429,    0.074247
   0.591837,    0.074376
   0.612245,    0.074469
   0.632653,    0.074522
   0.653061,    0.074529
   0.673469,    0.074482
   0.693878,    0.074373
   0.714286,    0.074191
   0.734694,    0.073920
   0.755102,    0.073543
   0.775510,    0.073036
   0.795918,    0.072368
   0.816327,    0.071498
   0.836735,    0.070368
   0.857143,    0.068900
   0.877551,    0.066982
   0.897959,    0.064449
   0.918367,    0.061044
   0.938776,    0.056342
   0.959184,    0.049560
   0.979592,    0.038897
   1.000000,    0.000000
