eta, Cl
   0.000000,    1.246576
   0.020408,    1.251283
   0.040816,    1.260338
   0.061224,    1.269048
   0.081633,    1.277398
   0.102041,    1.285373
   0.122449,    1.292961
   0.142857,    1.300149
   0.163265,    1.306924
   0.183673,    1.313272
   0.204082,    1.319180
   0.224490,    1.324633
   0.244898,    1.329614
   0.265306,    1.334106
   0.285714,    1.338091
   0.306122,    1.341546
   0.326531,    1.344450
   0.346939,    1.346776
   0.367347,    1.348496
   0.387755,    1.349580
   0.408163,    1.349991
   0.428571,    1.349692
   0.448980,    1.348640
   0.469388,    1.346785
   0.489796,    1.344075
   0.510204,    1.340439
   0.530612,    1.335808
   0.551020,    1.330113
   0.571429,    1.323268
   0.591837,    1.315175
   0.612245,    1.305722
   0.632653,    1.294783
   0.653061,    1.282212
   0.673469,    1.267840
   0.693878,    1.251473
   0.714286,    1.232884
   0.734694,    1.211806
   0.755102,    1.187923
   0.775510,    1.160854
   0.795918,    1.130138
   0.816327,    1.095204
   0.836735,    1.055334
   0.857143,    1.009600
   0.877551,    0.956768
   0.897959,    0.895118
   0.918367,    0.822116
   0.938776,    0.733690
   0.959184,    0.622336
   0.979592,    0.470228
   1.000000,    0.000000
