CLe, Static Stability Margin
   0.371785,    0.093579
   0.460701,    0.083872
   0.549494,    0.064330
   0.638157,    0.044662
   0.726685,    0.025271
   0.815081,    0.006813
   0.903358,   -0.011184
   0.991506,   -0.026386
   1.079518,   -0.034658
   1.167755,   -0.052840
   1.255564,   -0.073974
   1.343245,   -0.083920
   1.430796,   -0.093615
   1.518215,   -0.103252
   1.605499,   -0.112570
   1.692647,   -0.121257
   1.779665,   -0.129106
   1.866557,   -0.136602
   1.953317,   -0.144083
