CLe, Static Stability Margin
   0.385203,    0.291461
   0.477017,    0.281433
   0.568679,    0.261191
   0.660179,    0.240704
   0.751510,    0.220395
   0.842676,    0.200969
   0.933692,    0.181931
   1.024544,    0.165385
   1.115225,    0.155270
   1.206105,    0.135789
   1.296513,    0.113518
   1.386754,    0.101759
   1.476831,    0.090164
   1.566735,    0.078546
   1.656467,    0.067177
   1.746022,    0.056394
   1.835408,    0.046440
   1.924629,    0.036788
   2.013678,    0.027049
   2.102550,    0.017683
   2.191248,    0.008975
   2.279775,    0.000900
   2.368136,   -0.006821
   2.456328,   -0.016902
   2.543624,   -0.039555
   2.626441,   -0.086981
   2.701155,   -0.170029
   2.765018,   -0.345808
   2.816153,   -0.766049
   2.853544,   -1.572191
   2.877048,   -3.867861
