CLe, Static Stability Margin
   0.394046,    0.427303
   0.488147,    0.417732
   0.582092,    0.398395
   0.675870,    0.378784
   0.769473,    0.359279
   0.862905,    0.340536
   0.956179,    0.322108
   1.049280,    0.306021
   1.142203,    0.295997
   1.235322,    0.277013
   1.327950,    0.255345
   1.420402,    0.243640
   1.512676,    0.232053
   1.604766,    0.220406
   1.696668,    0.208958
   1.788381,    0.198038
   1.879908,    0.187885
   1.971256,    0.177994
   2.062417,    0.167984
   2.153383,    0.158302
   2.244157,    0.149229
   2.334743,    0.140752
   2.425145,    0.132600
   2.515360,    0.122173
   2.604643,    0.099750
   2.689326,    0.053711
   2.765701,   -0.026321
   2.830960,   -0.195067
   2.883185,   -0.598137
   2.921341,   -1.372014
   2.945286,   -3.586467
   2.955763,   16.679044
   2.954250,   21.881818
   2.942748,    5.094127
