CLe, Static Stability Margin
   0.385017,    0.286247
   0.485941,    0.274865
   0.586669,    0.252535
   0.687211,    0.230346
   0.787550,    0.208129
   0.887688,    0.186411
   0.987629,    0.168647
   1.087381,    0.155096
   1.187286,    0.133191
   1.286700,    0.110972
   1.385910,    0.097675
   1.484915,    0.084568
   1.583707,    0.071722
   1.682291,    0.059818
   1.780675,    0.048527
   1.878857,    0.037438
   1.976827,    0.026682
   2.074590,    0.016414
   2.172142,    0.006559
   2.269484,   -0.002767
   2.366617,   -0.011569
   2.463546,   -0.023477
   2.559021,   -0.051639
   2.648144,   -0.112913
   2.726375,   -0.224189
   2.790461,   -0.540082
   2.838426,   -1.196720
   2.869564,   -2.888999
   2.884431, -107.185099
