CLe, Static Stability Margin
   0.393706,    0.420251
   0.497101,    0.409392
   0.600297,    0.388035
   0.703299,    0.366743
   0.806092,    0.345368
   0.908676,    0.324391
   1.011052,    0.307111
   1.113228,    0.293778
   1.215556,    0.272448
   1.317373,    0.250781
   1.418972,    0.237563
   1.520351,    0.224476
   1.621502,    0.211589
   1.722428,    0.199565
   1.823138,    0.188094
   1.923628,    0.176778
   2.023888,    0.165745
   2.123920,    0.155146
   2.223721,    0.144912
   2.323292,    0.135157
   2.422631,    0.125885
   2.521744,    0.113650
   2.619353,    0.085916
   2.710444,    0.026565
   2.790377,   -0.080609
   2.855826,   -0.383906
   2.904776,   -1.014380
   2.936512,   -2.644229
   2.951610, -150.353321
   2.951830, -145.770493
   2.939694,    5.286628
