CLe, Static Stability Margin
   0.385037,    0.288281
   0.476799,    0.278228
   0.568408,    0.257937
   0.659856,    0.237401
   0.751134,    0.217043
   0.842247,    0.197575
   0.933209,    0.178496
   1.024008,    0.161911
   1.114636,    0.151766
   1.205462,    0.132247
   1.295815,    0.109935
   1.386003,    0.098147
   1.476025,    0.086526
   1.565876,    0.074883
   1.655553,    0.063489
   1.745054,    0.052683
   1.834386,    0.042709
   1.923552,    0.033038
   2.012548,    0.023279
   2.101366,    0.013896
   2.190010,    0.005172
   2.278482,   -0.002918
   2.366789,   -0.010652
   2.454928,   -0.020751
   2.542171,   -0.043445
   2.624938,   -0.090961
   2.699606,   -0.174166
   2.763430,   -0.350253
   2.814533,   -0.771174
   2.851900,   -1.578674
   2.875388,   -3.878550
