CL, CM
   0.045789,    0.266210
   0.071211,    0.259951
   0.096431,    0.256635
   0.121524,    0.255302
   0.146610,    0.251407
   0.171691,    0.245246
   0.196764,    0.239191
   0.221833,    0.233319
   0.246894,    0.227930
   0.271951,    0.222717
   0.297000,    0.217817
   0.322045,    0.213078
   0.347082,    0.208392
   0.372115,    0.203792
   0.397139,    0.199418
   0.422161,    0.195104
   0.447173,    0.190987
   0.472183,    0.186800
   0.497183,    0.182873
   0.522182,    0.178924
   0.547170,    0.175220
   0.572157,    0.171608
   0.597134,    0.167999
   0.622109,    0.164616
   0.647074,    0.161366
   0.672039,    0.158146
   0.696992,    0.154765
   0.721945,    0.151419
   0.746887,    0.148143
   0.771829,    0.144754
   0.796760,    0.141173
   0.821691,    0.137407
   0.846611,    0.133575
   0.871530,    0.129635
   0.896440,    0.125645
   0.921349,    0.121685
   0.946248,    0.117738
   0.971146,    0.114066
   0.996035,    0.110506
   1.021126,    0.106239
