CL, CM
   0.143379,   -0.101393
   0.168801,   -0.107581
   0.194021,   -0.110834
   0.219114,   -0.112109
   0.244200,   -0.115948
   0.269281,   -0.122054
   0.294354,   -0.128056
   0.319424,   -0.133877
   0.344484,   -0.139216
   0.369542,   -0.144381
   0.394590,   -0.149234
   0.419636,   -0.153928
   0.444672,   -0.158570
   0.469705,   -0.163128
   0.494730,   -0.167462
   0.519751,   -0.171737
   0.544763,   -0.175816
   0.569773,   -0.179967
   0.594774,   -0.183859
   0.619772,   -0.187775
   0.644760,   -0.191447
   0.669747,   -0.195029
   0.694724,   -0.198609
   0.719700,   -0.201964
   0.744664,   -0.205188
   0.769629,   -0.208383
   0.794582,   -0.211741
   0.819535,   -0.215065
   0.844477,   -0.218320
   0.869419,   -0.221690
   0.894350,   -0.225253
   0.919281,   -0.229003
   0.944201,   -0.232819
   0.969121,   -0.236745
   0.994031,   -0.240723
   1.018939,   -0.244671
   1.043838,   -0.248608
   1.068736,   -0.252271
   1.093625,   -0.255823
   1.118716,   -0.260083
