CL, CM
  -0.039929,    0.588920
  -0.014507,    0.582510
   0.010712,    0.579059
   0.035806,    0.577600
   0.060891,    0.573579
   0.085973,    0.567295
   0.111046,    0.561119
   0.136115,    0.555127
   0.161176,    0.549620
   0.186233,    0.544289
   0.211282,    0.539274
   0.236327,    0.534421
   0.261363,    0.529623
   0.286397,    0.524912
   0.311421,    0.520429
   0.336443,    0.516007
   0.361455,    0.511784
   0.386465,    0.507492
   0.411465,    0.503462
   0.436463,    0.499410
   0.461452,    0.495606
   0.486439,    0.491895
   0.511415,    0.488189
   0.536391,    0.484710
   0.561356,    0.481366
   0.586320,    0.478052
   0.611274,    0.474579
   0.636227,    0.471143
   0.661169,    0.467778
   0.686110,    0.464301
   0.711042,    0.460633
   0.735972,    0.456782
   0.760893,    0.452866
   0.785812,    0.448844
   0.810722,    0.444773
   0.835630,    0.440733
   0.860530,    0.436707
   0.885428,    0.432958
   0.910317,    0.429322
   0.935407,    0.424972
