CL, CM
  -0.001463,    0.444222
   0.023959,    0.437891
   0.049179,    0.434510
   0.074272,    0.433117
   0.099358,    0.429162
   0.124439,    0.422942
   0.149512,    0.416830
   0.174582,    0.410900
   0.199642,    0.405455
   0.224700,    0.400186
   0.249748,    0.395232
   0.274794,    0.390439
   0.299830,    0.385701
   0.324863,    0.381048
   0.349887,    0.376623
   0.374909,    0.372258
   0.399921,    0.368093
   0.424931,    0.363856
   0.449932,    0.359881
   0.474930,    0.355884
   0.499918,    0.352134
   0.524905,    0.348476
   0.549882,    0.344823
   0.574858,    0.341396
   0.599822,    0.338102
   0.624787,    0.334839
   0.649740,    0.331416
   0.674693,    0.328029
   0.699635,    0.324713
   0.724577,    0.321284
   0.749508,    0.317664
   0.774439,    0.313859
   0.799359,    0.309990
   0.824279,    0.306013
   0.849189,    0.301986
   0.874097,    0.297991
   0.898996,    0.294009
   0.923894,    0.290303
   0.948783,    0.286710
   0.973874,    0.282406
