Speed (CAS), Rate of Climb
  63.295294,    5.207843
  63.986392,    5.248755
  64.677491,    5.288956
  65.368590,    5.325884
  66.059688,    5.359607
  66.750787,    5.390205
  67.441886,    5.417770
  68.132984,    5.441949
  68.824083,    5.462445
  69.515182,    5.480070
  70.206280,    5.494964
  70.897379,    5.505935
  71.588478,    5.513910
  72.279577,    5.531126
  72.970675,    5.544410
  73.661774,    5.555207
  74.352873,    5.563441
  75.043971,    5.567862
  75.735070,    5.570633
  76.426169,    5.568945
  77.117267,    5.565667
  77.808366,    5.558363
  78.499465,    5.549197
  79.190563,    5.536073
  79.881662,    5.521227
  80.572761,    5.502091
  81.263859,    5.481795
  81.954958,    5.456491
  82.646057,    5.429904
  83.337155,    5.399409
  84.028254,    5.366362
  84.719353,    5.331046
  85.410451,    5.291384
  86.101550,    5.253362
  86.792649,    5.219097
  87.483747,    5.182048
  88.174846,    5.143611
  88.865945,    5.100486
  89.557043,    5.055316
  90.248142,    5.008657
  90.939241,    4.957102
  91.630339,    4.903506
  92.321438,    4.848318
  93.012537,    4.788877
  93.703635,    4.726566
  94.394734,    4.662564
  95.085833,    4.595893
  95.776931,    4.524603
  96.468030,    4.451520
  97.159129,    4.376640
  97.850227,    4.297884
  98.541326,    4.215478
  99.232425,    4.131174
  99.923523,    4.044964
 100.614622,    3.962117
 101.305721,    3.880849
 101.996819,    3.797749
 102.687918,    3.712809
 103.379017,    3.625630
 104.070115,    3.533116
 104.761214,    3.438664
 105.452313,    3.342265
 106.143411,    3.243913
 106.834510,    3.142545
 107.525609,    3.036377
 108.216707,    2.928157
 108.907806,    2.817877
 109.598905,    2.705529
 110.290003,    2.591103
 110.981102,    2.470940
 111.672201,    2.348406
 112.363299,    2.223699
 113.054398,    2.096809
 113.745497,    1.967729
 114.436595,    1.836350
 115.127694,    1.708617
 115.818793,    1.580299
 116.509891,    1.449820
 117.200990,    1.317171
 117.892089,    1.182342
 118.583187,    1.045325
 119.274286,    0.904603
 119.965385,    0.759296
 120.656483,    0.611706
 121.347582,    0.461825
 122.038681,    0.309641
 122.729779,    0.155147
 123.420878,   -0.001667
 124.111977,   -0.160812
 124.803075,   -0.325737
 125.494174,   -0.493485
 126.185273,   -0.663655
 126.876371,   -0.836258
 127.567470,   -1.011302
 128.258569,   -1.188799
 128.949667,   -1.367809
 129.640766,   -1.543574
 130.331865,   -1.722975
 131.022963,   -1.907446
 131.714062,   -2.094409
