eta, Cd
   0.000000,    0.005985
   0.020408,    0.005992
   0.040816,    0.006000
   0.061224,    0.006007
   0.081633,    0.006013
   0.102041,    0.006020
   0.122449,    0.006025
   0.142857,    0.006031
   0.163265,    0.006036
   0.183673,    0.006041
   0.204082,    0.006045
   0.224490,    0.006049
   0.244898,    0.006053
   0.265306,    0.006056
   0.285714,    0.006059
   0.306122,    0.006061
   0.326531,    0.006064
   0.346939,    0.006065
   0.367347,    0.006067
   0.387755,    0.006068
   0.408163,    0.006068
   0.428571,    0.006068
   0.448980,    0.006067
   0.469388,    0.006066
   0.489796,    0.006065
   0.510204,    0.006062
   0.530612,    0.006059
   0.551020,    0.006055
   0.571429,    0.006051
   0.591837,    0.006045
   0.612245,    0.006039
   0.632653,    0.006032
   0.653061,    0.006023
   0.673469,    0.006014
   0.693878,    0.006003
   0.714286,    0.005991
   0.734694,    0.005977
   0.755102,    0.005961
   0.775510,    0.005943
   0.795918,    0.005923
   0.816327,    0.005900
   0.836735,    0.005875
   0.857143,    0.005846
   0.877551,    0.005813
   0.897959,    0.005776
   0.918367,    0.005736
   0.938776,    0.005695
   0.959184,    0.005670
   0.979592,    0.005859
   1.000000,    0.005143
